,id,Apt_id,url,Address,Beds,Bath,Price,BedArea,Availablefrom,Availabletill,Description
807,807,266,https://junehomes.com/residences/boston-ma/beacon-hill/boston-beacon-hill-one/266,beacon-hill/boston-beacon-hill-one/266,4,1,1675,115,2023-08-31,2023-09-22,"This clean, charming and glossy room is available."
808,808,2598,https://junehomes.com/residences/boston-ma/brighton/928-brighton/2598,brighton/928-brighton/2598,5,3,1700,174,2023-08-24,2023-06-04,"This clean, charming and functional room is available."
809,809,3614,https://junehomes.com/residences/boston-ma/mission-hill/1251-mission-hill/3614,mission-hill/1251-mission-hill/3614,3,1,1700,153,2023-07-01,2023-05-31,"This bright, sunny and shine room is available."
810,810,2974,https://junehomes.com/residences/boston-ma/jfk/1029-jfkumass/2974,jfk/1029-jfkumass/2974,2,1,1725,114,2023-05-31,2023-06-30,"This attractive, charming and flashing room is available for a short or long-term staying in this shared apartment."
811,811,2668,https://junehomes.com/residences/boston-ma/uphams/945-uphams-corner/2668,uphams/945-uphams-corner/2668,4,1,1700,111,2023-07-21,2023-10-01,"This 111 square footage room on Boston's Upham's Corner is a clean, shiny and spacious room in a 4-bedroom apartment which is currently furnished, but it can be unfurnished for an additional fee."
812,812,1161,https://junehomes.com/residences/boston-ma/allston/442-allston/1161,allston/442-allston/1161,4,1,1700,119,2023-09-08,2023-04-29,"This good-looking, spacious and neat room is available."
813,813,829,https://junehomes.com/residences/boston-ma/savin/330-uphams-corner/829,savin/330-uphams-corner/829,4,2,1700,107,2023-08-31,2023-04-04,"This clean, shiny and charming room is available."
814,814,2769,https://junehomes.com/residences/boston-ma/jfk/975-jfkumass/2769,jfk/975-jfkumass/2769,5,2,1675,87,2023-05-31,2023-06-30,"This 87 square footage room on Boston's JFK/UMass is a charming, well-kept and appealing room in a 5-bedroom apartment which is currently furnished, but it can be unfurnished for an additional fee."
815,815,2654,https://junehomes.com/residences/boston-ma/brighton/940-brighton/2654,brighton/940-brighton/2654,4,2,1700,192,2023-06-18,2023-07-01,"This 192 square footage room on Boston's spaciouson is a spacious, well-kept and appealing room in a 4-bedroom apartment which is currently unfurnished, but it can be furnished for an additional fee."
816,816,1157,https://junehomes.com/residences/boston-ma/brighton/441-brighton/1157,brighton/441-brighton/1157,4,2,1700,135,2023-09-01,2024-02-04,"This good-looking, spacious and neat room is available."
817,817,1290,https://junehomes.com/residences/boston-ma/northend/473-north-end/1290,northend/473-north-end/1290,3,1,1700,103,2023-08-23,2023-07-01,"This 103 square footage room on Boston's North End is a clean, spacious and glossy room in a 3-bedroom apartment which is currently unfurnished, but it can be furnished for an additional fee."
818,818,3472,https://junehomes.com/residences/boston-ma/jfk/1212-jfkumass/3472,jfk/1212-jfkumass/3472,3,1,1700,154,2023-05-05,2023-10-01,"This 154 square footage room on Boston's JFK/UMass is a neat, spacious and glossy room in a 3-bedroom apartment which is currently unfurnished, but it can be furnished for an additional fee."
819,819,623,https://junehomes.com/residences/boston-ma/northend/278-north-end/623,northend/278-north-end/623,4,1,1700,90,2023-05-01,2023-03-17,"This spacious, well-kept and comfortable room is available. It's a functional, spacious and comfortable room in a 4-bedroom apartment which is currently furnished, but it can be unfurnished for an additional fee."
820,820,3656,https://junehomes.com/residences/boston-ma/brighton/1263-brighton/3656,brighton/1263-brighton/3656,7,2,1700,243,2023-05-31,2023-09-30,"This 243 square footage room on Boston's spaciouson is a attractive, spacious and glossy room in a 7-bedroom apartment which is currently unfurnished, but it can be furnished for an additional fee."
821,821,2827,https://junehomes.com/residences/boston-ma/fort-hill/990-fort-hill/2827,fort-hill/990-fort-hill/2827,4,2,1700,205,2023-09-01,2023-10-01,"This 205 square footage room on Boston's Fort Hill is a clean, spacious and glossy room in a 4-bedroom apartment which is currently unfurnished, but it can be furnished for an additional fee."
822,822,2653,https://junehomes.com/residences/boston-ma/brighton/940-brighton/2653,brighton/940-brighton/2653,4,2,1700,157,2023-03-30,2023-10-01,"This 157 square footage room on Boston's spaciouson is a clean, shiny and spacious room in a 4-bedroom apartment which is currently unfurnished, but it can be furnished for an additional fee."
823,823,1477,https://junehomes.com/residences/boston-ma/allston/539-allston/1477,allston/539-allston/1477,6,2,1700,75,2023-02-28,2023-10-22,"This 75 square footage room on Boston's Allston is a attractive, charming and glossy room in a 6-bedroom apartment which is currently furnished, but it can be unfurnished for an additional fee."
824,824,1464,https://junehomes.com/residences/boston-ma/allston/536-allston/1464,allston/536-allston/1464,4,2,1675,132,2023-05-31,2023-10-30,"This 132 square footage room on Boston's Allston is a clean, spacious and functional room in a 4-bedroom apartment which is currently unfurnished, but it can be furnished for an additional fee."
825,825,2890,https://junehomes.com/residences/boston-ma/fenway/1005-fenway/2890,fenway/1005-fenway/2890,6,2,1700,170,2023-06-01,2023-05-31,"This 170 square footage room on Boston's Fenway is a spacious, well-kept and comfortable room in a 6-bedroom apartment which is currently furnished, but it can be unfurnished for an additional fee."
826,826,3511,https://junehomes.com/residences/boston-ma/jfk/1223-jfkumass/3511,jfk/1223-jfkumass/3511,5,1,1725,132,2023-12-31,2023-03-04,"This 132 square footage room on Boston's JFK/UMass is a neat, spacious and glossy room in a 5-bedroom apartment which is currently furnished, but it can be unfurnished for an additional fee."
