id,Apt_id,url,address,Beds,Bath,Price,BedArea,Availablefrom,Availabletill,Description
253,3621,https://junehomes.com/residences/boston-ma/jfk/1254-jfkumass/3621,3621,4,1,1525,183,2023-01-02,2023-02-01,"This 183 square footage room on Boston's JFK/UMass is a clean, spacious and modern room in a 4-bedroom apartment which is currently unfurnished, but it can be furnished for an additional fee."
254,1612,https://junehomes.com/residences/boston-ma/brighton/587-brighton/1612,brighton,5,2,1525,137,2023-01-01,2023-01-31,"This 137 square footage room on Boston's spaciouson is a spacious, well-kept and appealing room in a 5-bedroom apartment which is currently unfurnished, but it can be furnished for an additional fee."
254,1612,https://junehomes.com/residences/boston-ma/brighton/587-brighton/1612,587-brighton,5,2,1525,137,2023-01-01,2023-01-31,"This 137 square footage room on Boston's spaciouson is a spacious, well-kept and appealing room in a 5-bedroom apartment which is currently unfurnished, but it can be furnished for an additional fee."
254,1612,https://junehomes.com/residences/boston-ma/brighton/587-brighton/1612,1612,5,2,1525,137,2023-01-01,2023-01-31,"This 137 square footage room on Boston's spaciouson is a spacious, well-kept and appealing room in a 5-bedroom apartment which is currently unfurnished, but it can be furnished for an additional fee."
255,3755,https://junehomes.com/residences/boston-ma/central-square/1297-central-square-cambridge/3755,central-square,3,1,1525,115,2023-01-01,2023-01-31,"This 115 square footage room on Boston's Central Square (Cambridge) is a spacious, lovely and clean room in a 3-bedroom apartment which is currently unfurnished, but it can be furnished for an additional fee."
255,3755,https://junehomes.com/residences/boston-ma/central-square/1297-central-square-cambridge/3755,1297-central-square-cambridge,3,1,1525,115,2023-01-01,2023-01-31,"This 115 square footage room on Boston's Central Square (Cambridge) is a spacious, lovely and clean room in a 3-bedroom apartment which is currently unfurnished, but it can be furnished for an additional fee."
255,3755,https://junehomes.com/residences/boston-ma/central-square/1297-central-square-cambridge/3755,3755,3,1,1525,115,2023-01-01,2023-01-31,"This 115 square footage room on Boston's Central Square (Cambridge) is a spacious, lovely and clean room in a 3-bedroom apartment which is currently unfurnished, but it can be furnished for an additional fee."
256,1691,https://junehomes.com/residences/boston-ma/brighton/607-brighton/1691,brighton,3,2,1750,156,2022-12-05,2023-01-04,"This 156 square footage room on Boston's spaciouson is a clean, spacious and glossy room in a 3-bedroom apartment which is currently furnished, but it can be unfurnished for an additional fee."
256,1691,https://junehomes.com/residences/boston-ma/brighton/607-brighton/1691,607-brighton,3,2,1750,156,2022-12-05,2023-01-04,"This 156 square footage room on Boston's spaciouson is a clean, spacious and glossy room in a 3-bedroom apartment which is currently furnished, but it can be unfurnished for an additional fee."
256,1691,https://junehomes.com/residences/boston-ma/brighton/607-brighton/1691,1691,3,2,1750,156,2022-12-05,2023-01-04,"This 156 square footage room on Boston's spaciouson is a clean, spacious and glossy room in a 3-bedroom apartment which is currently furnished, but it can be unfurnished for an additional fee."
257,4405,https://junehomes.com/residences/boston-ma/brighton/1525-brighton/4405,brighton,5,2,1525,195,2023-01-01,2023-01-31,"This 195 square footage room on Boston's Brighton. It's a functional, spacious and comfortable room in a 5-bedroom apartment which is currently furnished, but it can be unfurnished for an additional fee. For up to date prices, please indicate your move-in date, move-out date and your furnishing preference."
257,4405,https://junehomes.com/residences/boston-ma/brighton/1525-brighton/4405,1525-brighton,5,2,1525,195,2023-01-01,2023-01-31,"This 195 square footage room on Boston's Brighton. It's a functional, spacious and comfortable room in a 5-bedroom apartment which is currently furnished, but it can be unfurnished for an additional fee. For up to date prices, please indicate your move-in date, move-out date and your furnishing preference."
257,4405,https://junehomes.com/residences/boston-ma/brighton/1525-brighton/4405,4405,5,2,1525,195,2023-01-01,2023-01-31,"This 195 square footage room on Boston's Brighton. It's a functional, spacious and comfortable room in a 5-bedroom apartment which is currently furnished, but it can be unfurnished for an additional fee. For up to date prices, please indicate your move-in date, move-out date and your furnishing preference."
258,1288,https://junehomes.com/residences/boston-ma/northend/473-north-end/1288,northend,3,1,1525,94,2023-01-15,2023-02-14,"This 94 square footage room on Boston's North End is a clean, shiny and charming room in a 3-bedroom apartment which is currently unfurnished, but it can be furnished for an additional fee."
258,1288,https://junehomes.com/residences/boston-ma/northend/473-north-end/1288,473-north-end,3,1,1525,94,2023-01-15,2023-02-14,"This 94 square footage room on Boston's North End is a clean, shiny and charming room in a 3-bedroom apartment which is currently unfurnished, but it can be furnished for an additional fee."
258,1288,https://junehomes.com/residences/boston-ma/northend/473-north-end/1288,1288,3,1,1525,94,2023-01-15,2023-02-14,"This 94 square footage room on Boston's North End is a clean, shiny and charming room in a 3-bedroom apartment which is currently unfurnished, but it can be furnished for an additional fee."
259,1289,https://junehomes.com/residences/boston-ma/northend/473-north-end/1289,northend,3,1,1525,94,2023-01-15,2023-02-14,"This 94 square footage room on Boston's North End is a clean, charming and glossy room in a 3-bedroom apartment which is currently unfurnished, but it can be furnished for an additional fee."
259,1289,https://junehomes.com/residences/boston-ma/northend/473-north-end/1289,473-north-end,3,1,1525,94,2023-01-15,2023-02-14,"This 94 square footage room on Boston's North End is a clean, charming and glossy room in a 3-bedroom apartment which is currently unfurnished, but it can be furnished for an additional fee."
259,1289,https://junehomes.com/residences/boston-ma/northend/473-north-end/1289,1289,3,1,1525,94,2023-01-15,2023-02-14,"This 94 square footage room on Boston's North End is a clean, charming and glossy room in a 3-bedroom apartment which is currently unfurnished, but it can be furnished for an additional fee."
260,3714,https://junehomes.com/residences/boston-ma/allston/1284-allston/3714,allston,6,2,1525,140,2023-01-01,2023-01-31,"This attractive, charming and flashing room is available for a short or long-term staying in this shared apartment."
260,3714,https://junehomes.com/residences/boston-ma/allston/1284-allston/3714,1284-allston,6,2,1525,140,2023-01-01,2023-01-31,"This attractive, charming and flashing room is available for a short or long-term staying in this shared apartment."
260,3714,https://junehomes.com/residences/boston-ma/allston/1284-allston/3714,3714,6,2,1525,140,2023-01-01,2023-01-31,"This attractive, charming and flashing room is available for a short or long-term staying in this shared apartment."
261,3715,https://junehomes.com/residences/boston-ma/allston/1284-allston/3715,allston,6,2,1525,132,2023-01-01,2023-01-31,"This attractive, charming and flashing room is available for a short or long-term staying in this shared apartment."
261,3715,https://junehomes.com/residences/boston-ma/allston/1284-allston/3715,1284-allston,6,2,1525,132,2023-01-01,2023-01-31,"This attractive, charming and flashing room is available for a short or long-term staying in this shared apartment."
261,3715,https://junehomes.com/residences/boston-ma/allston/1284-allston/3715,3715,6,2,1525,132,2023-01-01,2023-01-31,"This attractive, charming and flashing room is available for a short or long-term staying in this shared apartment."
262,2120,https://junehomes.com/residences/boston-ma/roxbury/768-roxbury/2120,roxbury,3,1,1550,155,2023-01-08,2023-02-07,"This 155 square footage room on Boston's Roxbury is a clean, spacious and glossy room in a 3-bedroom apartment which is currently unfurnished, but it can be furnished for an additional fee."
262,2120,https://junehomes.com/residences/boston-ma/roxbury/768-roxbury/2120,768-roxbury,3,1,1550,155,2023-01-08,2023-02-07,"This 155 square footage room on Boston's Roxbury is a clean, spacious and glossy room in a 3-bedroom apartment which is currently unfurnished, but it can be furnished for an additional fee."
262,2120,https://junehomes.com/residences/boston-ma/roxbury/768-roxbury/2120,2120,3,1,1550,155,2023-01-08,2023-02-07,"This 155 square footage room on Boston's Roxbury is a clean, spacious and glossy room in a 3-bedroom apartment which is currently unfurnished, but it can be furnished for an additional fee."
263,4066,https://junehomes.com/residences/boston-ma/brighton/1403-brighton/4066,brighton,5,2,1550,138,2023-01-05,2023-02-04,"This 138 square footage room on Boston's spaciouson is a cute, spacious and clean room in a 5-bedroom apartment which is currently unfurnished, but it can be furnished for an additional fee."
263,4066,https://junehomes.com/residences/boston-ma/brighton/1403-brighton/4066,1403-brighton,5,2,1550,138,2023-01-05,2023-02-04,"This 138 square footage room on Boston's spaciouson is a cute, spacious and clean room in a 5-bedroom apartment which is currently unfurnished, but it can be furnished for an additional fee."
263,4066,https://junehomes.com/residences/boston-ma/brighton/1403-brighton/4066,4066,5,2,1550,138,2023-01-05,2023-02-04,"This 138 square footage room on Boston's spaciouson is a cute, spacious and clean room in a 5-bedroom apartment which is currently unfurnished, but it can be furnished for an additional fee."
264,4248,https://junehomes.com/residences/boston-ma/central-square/1474-central-square-cambridge/4248,central-square,5,2,1550,71,2022-12-23,2023-01-22,"This comfy, cute and charming room is available."
264,4248,https://junehomes.com/residences/boston-ma/central-square/1474-central-square-cambridge/4248,1474-central-square-cambridge,5,2,1550,71,2022-12-23,2023-01-22,"This comfy, cute and charming room is available."
264,4248,https://junehomes.com/residences/boston-ma/central-square/1474-central-square-cambridge/4248,4248,5,2,1550,71,2022-12-23,2023-01-22,"This comfy, cute and charming room is available."
265,1238,https://junehomes.com/residences/boston-ma/allston/458-allston/1238,allston,4,1,1550,161,2023-01-01,2023-01-31,"This clean, spacious and pretty room is available."
265,1238,https://junehomes.com/residences/boston-ma/allston/458-allston/1238,458-allston,4,1,1550,161,2023-01-01,2023-01-31,"This clean, spacious and pretty room is available."
265,1238,https://junehomes.com/residences/boston-ma/allston/458-allston/1238,1238,4,1,1550,161,2023-01-01,2023-01-31,"This clean, spacious and pretty room is available."
266,3745,https://junehomes.com/residences/boston-ma/roxbury/1295-brighton/3745,roxbury,4,1,1550,174,2023-01-01,2023-01-31,"This 174 square footage room on Boston's Roxbury is a clean, spacious and glossy room in a 4-bedroom apartment which is currently unfurnished, but it can be furnished for an additional fee."
266,3745,https://junehomes.com/residences/boston-ma/roxbury/1295-brighton/3745,1295-brighton,4,1,1550,174,2023-01-01,2023-01-31,"This 174 square footage room on Boston's Roxbury is a clean, spacious and glossy room in a 4-bedroom apartment which is currently unfurnished, but it can be furnished for an additional fee."
266,3745,https://junehomes.com/residences/boston-ma/roxbury/1295-brighton/3745,3745,4,1,1550,174,2023-01-01,2023-01-31,"This 174 square footage room on Boston's Roxbury is a clean, spacious and glossy room in a 4-bedroom apartment which is currently unfurnished, but it can be furnished for an additional fee."
267,4739,https://junehomes.com/residences/boston-ma/somerville/1643-somerville/4739,somerville,2,1,1550,144,2022-12-05,2023-01-04,"This 144 square footage room on Boston's Somerville. It's a functional, spacious and comfortable room in a 2-bedroom apartment which is currently unfurnished, but it can be furnished for an additional fee."
