id,Trans_id,stations,walktime,description
105,2,"Greenbush Line ",15,"JFK / UMass"
105,3,"Red line ",15,"JFK / UMass"
105,4,16,5,"Columbia Rd @ Holden St"
105,4,17,5,"Columbia Rd @ Holden St"
105,4,41,5,"Columbia Rd @ Holden St"
106,0,18,3,"Dorchester Ave Romsey St"
107,0,"B ",5,"Washington St"
107,1,"C ",7,"Dean Road"
107,2,"D ",12,Beaconsfield
108,0,"Red Line ",6,"JFK / UMass"
108,1,"Greenbush Line Kingston Line ",6,"JFK / UMass"
108,2,"Fairmount Line Franklin Line ",15,"Uphams Corner"
108,3,8,6,"JFK / UMass"
108,3,16,6,"JFK / UMass"
108,3,41,6,"JFK / UMass"
109,0,"Red Line ",6,"JFK / UMass"
109,1,"Greenbush Line Kingston Line ",6,"JFK / UMass"
109,2,"Fairmount Line Franklin Line ",15,"Uphams Corner"
109,3,8,6,"JFK / UMass"
109,3,16,6,"JFK / UMass"
109,3,41,6,"JFK / UMass"
110,0,80,2,"Pearl St and McGrath Hwy"
110,1,90,4,"Cross St and Auburn Ave"
111,0,"Orange Line ",8,"Stony Brook"
111,1,42,1,"Washington St @ School St"
111,2,22,2,"Columbus Ave @ Weld Ave"
111,2,29,2,"Columbus Ave @ Weld Ave"
111,2,44,2,"Columbus Ave @ Weld Ave"
112,0,"Red line ",1,"JFK / UMass"
112,1,"Greenbush/Kingston ",1,"JFK / UMass"
112,2,"Middleborough/Lakeville ",1,"JFK / UMass"
112,3,8,1,"JFK / UMass"
112,3,16,1,"JFK / UMass"
112,3,41,1,"JFK / UMass"
113,0,"Fairmount Line ",5,"Uphams Corner"
113,1,"Kingston Line ",15,"JFK / UMass"
113,2,"Greenbush Line ",15,"JFK / UMass"
113,3,"Red line ",15,"JFK / UMass"
113,4,16,5,"Columbia Rd @ Holden St"
113,4,17,5,"Columbia Rd @ Holden St"
113,4,41,5,"Columbia Rd @ Holden St"
114,0,"Red Line ",6,"JFK / UMass"
114,1,"Middleborough/Lakeville Line ",6,"JFK / UMass"
114,2,"Greenbush Line ",6,"JFK / UMass"
114,3,"Kingston Line ",6,"JFK / UMass"
114,4,18,2,"Dorchester Ave @ Edison Green"
115,0,"Greenbush Line Kingston Line Middleborough/Lakeville Line ",11,"JFK / UMass"
115,1,"Red Line ",11,"JFK / UMass"
115,2,8,11,"JFK / UMass"
115,2,16,11,"JFK / UMass"
115,2,41,11,"JFK / UMass"
116,0,"Greenbush Line Kingston Line Middleborough/Lakeville Line ",15,"JFK / UMass"
116,1,"Red Line ",15,"JFK / UMass"
